Date,Site,Barn,Avg_Temperature_F,Avg_Humidity_pct,Water_Usage_Gallons,Power_Usage_kWh,Ventilation_Level_pct,Notes
3/18/2025,Nursery North,N1,91,60,2208,330.3,68.2,Synthetic environmental + utility data for planning and analytics
3/19/2025,Nursery North,N1,85.3,66.1,2261,401.7,70.7,Synthetic environmental + utility data for planning and analytics
3/20/2025,Nursery North,N1,92.3,73.2,2570,336.1,66.7,Synthetic environmental + utility data for planning and analytics
3/21/2025,Nursery North,N1,89.2,60.5,2144,358.9,49.8,Synthetic environmental + utility data for planning and analytics
3/22/2025,Nursery North,N1,91.8,68.8,1928,370.2,64.1,Synthetic environmental + utility data for planning and analytics
3/23/2025,Nursery North,N1,91.7,56,2103,370.2,40.1,Synthetic environmental + utility data for planning and analytics
3/24/2025,Nursery North,N1,87.2,69.9,2025,417.4,61.7,Synthetic environmental + utility data for planning and analytics
3/25/2025,Nursery North,N1,88.6,66.1,1957,356.8,83.7,Synthetic environmental + utility data for planning and analytics
3/26/2025,Nursery North,N1,87.5,70.9,1930,385.9,82.9,Synthetic environmental + utility data for planning and analytics
3/27/2025,Nursery North,N1,90.2,61.9,2516,329.2,60.6,Synthetic environmental + utility data for planning and analytics
3/28/2025,Nursery North,N1,87.4,70.1,2452,329.6,82,Synthetic environmental + utility data for planning and analytics
3/29/2025,Nursery North,N1,87,69.6,2001,375.5,73.6,Synthetic environmental + utility data for planning and analytics
3/30/2025,Nursery North,N1,89.6,55.9,1984,355.1,59.1,Synthetic environmental + utility data for planning and analytics
3/31/2025,Nursery North,N1,86,74.3,2136,333.4,67.3,Synthetic environmental + utility data for planning and analytics
4/1/2025,Nursery North,N1,86.1,57.3,2128,345.8,62,Synthetic environmental + utility data for planning and analytics
4/2/2025,Nursery North,N1,88.7,63.5,2503,389.4,66.3,Synthetic environmental + utility data for planning and analytics
4/3/2025,Nursery North,N1,90.4,69.9,2268,364.1,45.1,Synthetic environmental + utility data for planning and analytics
4/4/2025,Nursery North,N1,90.4,74.8,1972,344.9,62,Synthetic environmental + utility data for planning and analytics
4/5/2025,Nursery North,N1,90.8,65.6,2366,397.8,78.6,Synthetic environmental + utility data for planning and analytics
4/6/2025,Nursery North,N1,85.8,64.1,2078,324.9,46.7,Synthetic environmental + utility data for planning and analytics
4/7/2025,Nursery North,N1,88.1,56.6,2355,332,79.3,Synthetic environmental + utility data for planning and analytics
4/8/2025,Nursery North,N1,90.4,68.8,1984,334.2,43,Synthetic environmental + utility data for planning and analytics
4/9/2025,Nursery North,N1,92.6,68.4,2405,399.3,42.8,Synthetic environmental + utility data for planning and analytics
4/10/2025,Nursery North,N1,86.5,64.7,2343,348,77.6,Synthetic environmental + utility data for planning and analytics
4/11/2025,Nursery North,N1,90.4,70.5,2442,390.9,50.2,Synthetic environmental + utility data for planning and analytics
4/12/2025,Nursery North,N1,86.8,62.5,2125,406.1,45.5,Synthetic environmental + utility data for planning and analytics
4/13/2025,Nursery North,N1,88.1,55.7,2320,352.7,58.9,Synthetic environmental + utility data for planning and analytics
4/14/2025,Nursery North,N1,91.8,67.3,1829,394.7,44,Synthetic environmental + utility data for planning and analytics
4/15/2025,Nursery North,N1,86,73.6,2347,336.3,46.4,Synthetic environmental + utility data for planning and analytics
4/16/2025,Nursery North,N1,87,74.8,2006,366,56.3,Synthetic environmental + utility data for planning and analytics
4/17/2025,Nursery North,N1,88.5,64.9,2359,321.3,42.7,Synthetic environmental + utility data for planning and analytics
4/18/2025,Nursery North,N1,91.3,67.5,1956,407.5,65.4,Synthetic environmental + utility data for planning and analytics
4/19/2025,Nursery North,N1,84.3,72.6,2011,344.8,61.2,Synthetic environmental + utility data for planning and analytics
4/20/2025,Nursery North,N1,88.7,62.3,1983,324.8,51.1,Synthetic environmental + utility data for planning and analytics
4/21/2025,Nursery North,N1,88.7,58.7,2330,366.6,71.9,Synthetic environmental + utility data for planning and analytics
4/22/2025,Nursery North,N1,85,65.5,1910,349.8,61.8,Synthetic environmental + utility data for planning and analytics
4/23/2025,Nursery North,N1,87.8,67.4,2084,412.4,67.2,Synthetic environmental + utility data for planning and analytics
4/24/2025,Nursery North,N1,91.2,63.9,1970,383.2,58.4,Synthetic environmental + utility data for planning and analytics
4/25/2025,Nursery North,N1,86.5,60.6,2107,394.8,43.2,Synthetic environmental + utility data for planning and analytics
4/26/2025,Nursery North,N1,84.8,65.9,2566,360,64.9,Synthetic environmental + utility data for planning and analytics
4/27/2025,Nursery North,N1,86,62.8,2261,321.9,72.6,Synthetic environmental + utility data for planning and analytics
4/28/2025,Nursery North,N1,87.9,63.4,2014,348.5,52.5,Synthetic environmental + utility data for planning and analytics
4/29/2025,Nursery North,N1,85.8,68.8,2562,330.3,57.4,Synthetic environmental + utility data for planning and analytics
4/30/2025,Nursery North,N1,90.2,57,2402,377.8,60.7,Synthetic environmental + utility data for planning and analytics
5/1/2025,Nursery North,N1,88.8,70.9,2116,404.9,57.3,Synthetic environmental + utility data for planning and analytics
5/2/2025,Nursery North,N1,90.1,68,2389,382.7,44,Synthetic environmental + utility data for planning and analytics
5/3/2025,Nursery North,N1,82.7,73,2145,401.5,77.2,Synthetic environmental + utility data for planning and analytics
5/4/2025,Nursery North,N1,84.9,69.7,2405,386.2,79.1,Synthetic environmental + utility data for planning and analytics
5/5/2025,Nursery North,N1,85.3,71,2443,418.8,40.6,Synthetic environmental + utility data for planning and analytics
5/6/2025,Nursery North,N1,82.5,74.2,2469,391.4,45.5,Synthetic environmental + utility data for planning and analytics
5/7/2025,Nursery North,N1,85.6,58.9,2034,363.8,39.1,Synthetic environmental + utility data for planning and analytics
5/8/2025,Nursery North,N1,87.4,56.2,2271,338.6,78.7,Synthetic environmental + utility data for planning and analytics
5/9/2025,Nursery North,N1,84.7,59.8,2247,323.8,52.5,Synthetic environmental + utility data for planning and analytics
5/10/2025,Nursery North,N1,86.3,61.6,2036,328.8,38,Synthetic environmental + utility data for planning and analytics
5/11/2025,Nursery North,N1,87.3,72.6,1998,357.1,53.9,Synthetic environmental + utility data for planning and analytics
5/12/2025,Nursery North,N1,81.2,64.3,2592,370.3,55.6,Synthetic environmental + utility data for planning and analytics
5/13/2025,Nursery North,N1,84.6,63,2530,393.4,59.1,Synthetic environmental + utility data for planning and analytics
5/14/2025,Nursery North,N1,87.6,71.5,1926,400,48.7,Synthetic environmental + utility data for planning and analytics
5/15/2025,Nursery North,N1,80.8,64,2339,325.3,61.9,Synthetic environmental + utility data for planning and analytics
5/16/2025,Nursery North,N1,85.3,71.9,2273,346.2,76.4,Synthetic environmental + utility data for planning and analytics
5/17/2025,Nursery North,N1,85,62.3,1949,335.5,59.8,Synthetic environmental + utility data for planning and analytics
5/18/2025,Nursery North,N1,79.3,70.5,2260,346.9,50.6,Synthetic environmental + utility data for planning and analytics
5/19/2025,Nursery North,N1,80,61.4,2068,398.9,60.6,Synthetic environmental + utility data for planning and analytics
5/20/2025,Nursery North,N1,80.6,55.6,2174,322.1,55,Synthetic environmental + utility data for planning and analytics
5/21/2025,Nursery North,N1,82.2,66.5,2220,329.2,65,Synthetic environmental + utility data for planning and analytics
5/22/2025,Nursery North,N1,80.8,64,2044,391.1,65.5,Synthetic environmental + utility data for planning and analytics
5/23/2025,Nursery North,N1,80.4,60.5,1927,341.4,53.7,Synthetic environmental + utility data for planning and analytics
5/24/2025,Nursery North,N1,82.5,59.6,2178,403,64.6,Synthetic environmental + utility data for planning and analytics
5/25/2025,Nursery North,N1,78.4,55.2,2397,353.4,61.9,Synthetic environmental + utility data for planning and analytics
5/26/2025,Nursery North,N1,80.9,69.1,2291,332.2,62.3,Synthetic environmental + utility data for planning and analytics
5/27/2025,Nursery North,N1,82.9,67.1,2118,329.8,81.3,Synthetic environmental + utility data for planning and analytics
5/28/2025,Nursery North,N1,77.5,63.3,2070,416.7,65.8,Synthetic environmental + utility data for planning and analytics
5/29/2025,Nursery North,N1,81.5,62.4,2438,384.1,52.1,Synthetic environmental + utility data for planning and analytics
5/30/2025,Nursery North,N1,81.1,60.7,2192,392.7,39.5,Synthetic environmental + utility data for planning and analytics
5/31/2025,Nursery North,N1,80.5,63.4,2599,368.7,45.6,Synthetic environmental + utility data for planning and analytics
6/1/2025,Nursery North,N1,75.8,68.3,1983,398,36.2,Synthetic environmental + utility data for planning and analytics
6/2/2025,Nursery North,N1,80.9,74.8,2013,348.8,80.7,Synthetic environmental + utility data for planning and analytics
6/3/2025,Nursery North,N1,75.5,57.2,2438,377.9,65.2,Synthetic environmental + utility data for planning and analytics
6/4/2025,Nursery North,N1,80.1,67.1,2118,374.1,35.1,Synthetic environmental + utility data for planning and analytics
6/5/2025,Nursery North,N1,76.1,56.5,1909,419.7,37.7,Synthetic environmental + utility data for planning and analytics
6/6/2025,Nursery North,N1,76.3,73.6,1847,390.6,36.7,Synthetic environmental + utility data for planning and analytics
6/7/2025,Nursery North,N1,80,69,2072,364,77.6,Synthetic environmental + utility data for planning and analytics
6/8/2025,Nursery North,N1,74.7,66.8,2232,358.8,39.1,Synthetic environmental + utility data for planning and analytics
6/9/2025,Nursery North,N1,74,55.3,2555,379.8,57.4,Synthetic environmental + utility data for planning and analytics
6/10/2025,Nursery North,N1,79,64.4,2038,375.6,82.9,Synthetic environmental + utility data for planning and analytics
6/11/2025,Nursery North,N1,77.3,59.9,2539,358,53,Synthetic environmental + utility data for planning and analytics
6/12/2025,Nursery North,N1,75.7,59.9,1917,381.5,54.5,Synthetic environmental + utility data for planning and analytics
6/13/2025,Nursery North,N1,71.4,58.9,2223,365.9,78.9,Synthetic environmental + utility data for planning and analytics
6/14/2025,Nursery North,N1,78.7,66,2110,330.4,74.9,Synthetic environmental + utility data for planning and analytics
6/15/2025,Nursery North,N1,72,61,2349,326.4,72,Synthetic environmental + utility data for planning and analytics
6/16/2025,Nursery North,N1,74.6,62.7,2402,368.2,59,Synthetic environmental + utility data for planning and analytics
6/17/2025,Nursery North,N1,72.2,70.5,1940,335.5,76.8,Synthetic environmental + utility data for planning and analytics
6/18/2025,Nursery North,N1,77.4,69.7,2419,382.1,62.6,Synthetic environmental + utility data for planning and analytics
6/19/2025,Nursery North,N1,73.8,66.2,2135,338,76.2,Synthetic environmental + utility data for planning and analytics
6/20/2025,Nursery North,N1,73.8,70.9,2506,397.2,54.8,Synthetic environmental + utility data for planning and analytics
6/21/2025,Nursery North,N1,69.7,58.4,2596,396.9,63.9,Synthetic environmental + utility data for planning and analytics
6/22/2025,Nursery North,N1,71.1,74.5,1966,328.7,52.2,Synthetic environmental + utility data for planning and analytics
6/23/2025,Nursery North,N1,70.2,72.5,2029,336.1,41.2,Synthetic environmental + utility data for planning and analytics
6/24/2025,Nursery North,N1,74.4,64.1,1951,396.9,76.6,Synthetic environmental + utility data for planning and analytics
6/25/2025,Nursery North,N1,72.6,60,1835,343.2,65,Synthetic environmental + utility data for planning and analytics
6/26/2025,Nursery North,N1,69,70.1,1884,408.4,51.1,Synthetic environmental + utility data for planning and analytics
6/27/2025,Nursery North,N1,73.2,62.5,1908,370.4,70.2,Synthetic environmental + utility data for planning and analytics
6/28/2025,Nursery North,N1,71.1,70.9,2160,345.8,62.8,Synthetic environmental + utility data for planning and analytics
6/29/2025,Nursery North,N1,73,68.3,1985,368,40.3,Synthetic environmental + utility data for planning and analytics
6/30/2025,Nursery North,N1,70.8,67.3,1975,407.4,80.8,Synthetic environmental + utility data for planning and analytics
7/1/2025,Nursery North,N1,67.1,69,2053,330.1,68.2,Synthetic environmental + utility data for planning and analytics
7/2/2025,Nursery North,N1,70.6,66.2,2572,342.8,79.8,Synthetic environmental + utility data for planning and analytics
7/3/2025,Nursery North,N1,66.1,65.5,2027,405.5,51.5,Synthetic environmental + utility data for planning and analytics
7/4/2025,Nursery North,N1,67.9,65.8,2090,415.4,59.3,Synthetic environmental + utility data for planning and analytics
7/5/2025,Nursery North,N1,66.2,70.3,2412,396.5,44.5,Synthetic environmental + utility data for planning and analytics
7/6/2025,Nursery North,N1,68.6,70.6,2037,377,69.8,Synthetic environmental + utility data for planning and analytics
7/7/2025,Nursery North,N1,67.2,69.3,2246,382.3,81.1,Synthetic environmental + utility data for planning and analytics
7/8/2025,Nursery North,N1,68.2,71.2,2226,380.1,73,Synthetic environmental + utility data for planning and analytics
7/9/2025,Nursery North,N1,62.5,66.9,2396,381.7,36.4,Synthetic environmental + utility data for planning and analytics
7/10/2025,Nursery North,N1,65.9,71.1,1834,386.3,39,Synthetic environmental + utility data for planning and analytics
7/11/2025,Nursery North,N1,64.9,58.4,2324,344.8,66.8,Synthetic environmental + utility data for planning and analytics
7/12/2025,Nursery North,N1,68.2,74.8,2383,369.5,78.7,Synthetic environmental + utility data for planning and analytics
7/13/2025,Nursery North,N1,65.6,62,2496,380.7,65.4,Synthetic environmental + utility data for planning and analytics
7/14/2025,Nursery North,N1,67.1,57.9,2294,399.1,58.3,Synthetic environmental + utility data for planning and analytics
7/15/2025,Nursery North,N1,62.4,70,2309,363.2,35.4,Synthetic environmental + utility data for planning and analytics
7/16/2025,Nursery North,N1,64,70.6,2354,341.9,38.2,Synthetic environmental + utility data for planning and analytics
7/17/2025,Nursery North,N1,66.5,59.9,2256,401.5,80.9,Synthetic environmental + utility data for planning and analytics
7/18/2025,Nursery North,N1,62.9,68.2,2511,358.2,38.1,Synthetic environmental + utility data for planning and analytics
7/19/2025,Nursery North,N1,60.7,74.1,2582,375.5,54,Synthetic environmental + utility data for planning and analytics
7/20/2025,Nursery North,N1,61.8,56.8,1823,417.6,67.3,Synthetic environmental + utility data for planning and analytics
7/21/2025,Nursery North,N1,60.2,70.6,2297,330.5,48.1,Synthetic environmental + utility data for planning and analytics
7/22/2025,Nursery North,N1,60.1,64.4,2164,330.3,65.6,Synthetic environmental + utility data for planning and analytics
7/23/2025,Nursery North,N1,58.3,71.1,2411,387,83.9,Synthetic environmental + utility data for planning and analytics
7/24/2025,Nursery North,N1,60.3,61.9,2151,402.3,38.2,Synthetic environmental + utility data for planning and analytics
7/25/2025,Nursery North,N1,60.1,55.5,2596,377.9,79.2,Synthetic environmental + utility data for planning and analytics
7/26/2025,Nursery North,N1,57.4,69.8,2115,399.3,83.2,Synthetic environmental + utility data for planning and analytics
7/27/2025,Nursery North,N1,58.4,57.7,2216,329.8,55.9,Synthetic environmental + utility data for planning and analytics
7/28/2025,Nursery North,N1,57.8,57.6,2320,394.9,64.9,Synthetic environmental + utility data for planning and analytics
7/29/2025,Nursery North,N1,57.2,61,2128,357.2,79.6,Synthetic environmental + utility data for planning and analytics
7/30/2025,Nursery North,N1,63,58.1,2554,323.2,54.7,Synthetic environmental + utility data for planning and analytics
7/31/2025,Nursery North,N1,61,58.6,2019,363.2,53.1,Synthetic environmental + utility data for planning and analytics
8/1/2025,Nursery North,N1,59,72.9,2346,345.8,39.1,Synthetic environmental + utility data for planning and analytics
8/2/2025,Nursery North,N1,58.2,58.5,2119,370.2,82.6,Synthetic environmental + utility data for planning and analytics
8/3/2025,Nursery North,N1,55.3,68.2,2280,331.7,47.4,Synthetic environmental + utility data for planning and analytics
8/4/2025,Nursery North,N1,61.3,74.5,1832,370.2,81,Synthetic environmental + utility data for planning and analytics
8/5/2025,Nursery North,N1,55.2,64.7,2013,368.4,72.6,Synthetic environmental + utility data for planning and analytics
8/6/2025,Nursery North,N1,59.7,69,1978,397.1,56.9,Synthetic environmental + utility data for planning and analytics
8/7/2025,Nursery North,N1,58.1,72.2,2038,405.8,68.2,Synthetic environmental + utility data for planning and analytics
8/8/2025,Nursery North,N1,56.8,57.5,2355,358.2,36.8,Synthetic environmental + utility data for planning and analytics
8/9/2025,Nursery North,N1,60,66.9,2226,325.8,38.3,Synthetic environmental + utility data for planning and analytics
8/10/2025,Nursery North,N1,57.1,71.7,2435,397.8,45.9,Synthetic environmental + utility data for planning and analytics
8/11/2025,Nursery North,N1,55.8,56.4,2552,351.7,75.4,Synthetic environmental + utility data for planning and analytics
8/12/2025,Nursery North,N1,56.9,73.7,1858,336.5,60.7,Synthetic environmental + utility data for planning and analytics
8/13/2025,Nursery North,N1,57.6,57.2,2307,395.7,45.6,Synthetic environmental + utility data for planning and analytics
8/14/2025,Nursery North,N1,57.3,60.2,2321,342.1,42.1,Synthetic environmental + utility data for planning and analytics
8/15/2025,Nursery North,N1,56.5,68.3,2400,366.8,71.3,Synthetic environmental + utility data for planning and analytics
8/16/2025,Nursery North,N1,54.5,55.2,1932,391.5,68.8,Synthetic environmental + utility data for planning and analytics
8/17/2025,Nursery North,N1,52.3,65.7,2262,356.1,36.6,Synthetic environmental + utility data for planning and analytics
8/18/2025,Nursery North,N1,51.2,63.7,2252,369.3,51.1,Synthetic environmental + utility data for planning and analytics
8/19/2025,Nursery North,N1,50.2,68.6,1858,325.4,62.5,Synthetic environmental + utility data for planning and analytics
8/20/2025,Nursery North,N1,54.2,59.4,1861,387.1,58.8,Synthetic environmental + utility data for planning and analytics
8/21/2025,Nursery North,N1,57.2,55.1,1881,340.4,51.5,Synthetic environmental + utility data for planning and analytics
8/22/2025,Nursery North,N1,56.9,60.4,2438,322.9,83.5,Synthetic environmental + utility data for planning and analytics
8/23/2025,Nursery North,N1,51.8,65.4,2442,407.9,83.1,Synthetic environmental + utility data for planning and analytics
8/24/2025,Nursery North,N1,51.6,67.3,2429,338,38.9,Synthetic environmental + utility data for planning and analytics
8/25/2025,Nursery North,N1,56.1,65.9,1861,415.9,78.2,Synthetic environmental + utility data for planning and analytics
8/26/2025,Nursery North,N1,50.6,69.6,2124,349.3,83.5,Synthetic environmental + utility data for planning and analytics
8/27/2025,Nursery North,N1,55.1,62.6,2187,370.2,36,Synthetic environmental + utility data for planning and analytics
8/28/2025,Nursery North,N1,56.2,67,1923,407.8,74.5,Synthetic environmental + utility data for planning and analytics
8/29/2025,Nursery North,N1,50.1,64.3,2577,326.7,36.7,Synthetic environmental + utility data for planning and analytics
8/30/2025,Nursery North,N1,52.2,66.6,1893,415.5,52.1,Synthetic environmental + utility data for planning and analytics
8/31/2025,Nursery North,N1,54.6,61.1,1957,401,67.5,Synthetic environmental + utility data for planning and analytics
9/1/2025,Nursery North,N1,54.3,56.9,2112,324.9,55.4,Synthetic environmental + utility data for planning and analytics
9/2/2025,Nursery North,N1,55.2,69.8,2425,328.7,63.2,Synthetic environmental + utility data for planning and analytics
9/3/2025,Nursery North,N1,54.2,57.6,2443,357.6,49.5,Synthetic environmental + utility data for planning and analytics
9/4/2025,Nursery North,N1,49.9,63.2,2032,323.1,83.9,Synthetic environmental + utility data for planning and analytics
9/5/2025,Nursery North,N1,50.3,60.9,1872,337.9,69.8,Synthetic environmental + utility data for planning and analytics
9/6/2025,Nursery North,N1,49.1,64.5,2060,396.9,81.4,Synthetic environmental + utility data for planning and analytics
9/7/2025,Nursery North,N1,49.3,56.2,2554,407.9,81.3,Synthetic environmental + utility data for planning and analytics
9/8/2025,Nursery North,N1,52.4,69.5,2448,363.6,69.9,Synthetic environmental + utility data for planning and analytics
9/9/2025,Nursery North,N1,48.8,71.9,1879,338.8,66.1,Synthetic environmental + utility data for planning and analytics
9/10/2025,Nursery North,N1,51.2,73.7,2552,408.5,49.9,Synthetic environmental + utility data for planning and analytics
9/11/2025,Nursery North,N1,53.1,55.3,2352,351.9,78.8,Synthetic environmental + utility data for planning and analytics
9/12/2025,Nursery North,N1,50.5,68.1,1957,417.4,35.5,Synthetic environmental + utility data for planning and analytics
